LSG Name, Population
Vadavannoor__Palakkad,17126
Kollengodu__Palakkad,29587
Pothukallu__Malappuram,6072
Perumpadappu__Malappuram,5876
Veliyamcod__Malappuram,6211
Nannammukku__Malappuram,6221
Marancherri__Malappuram,7104
Edappal__Malappuram,6684
Alamkod__Malappuram,7050
Vattamkulam__Malappuram,7454
Aliparambu__Malappuram,7947
Thazhekkod__Malappuram,7951
Elamkulam__Malappuram,5330
Angadippuram__Malappuram,11712
Perinthalmanna(M)__Malappuram,49723
Pulamanthol__Malappuram,7387
Moorkanad__Malappuram,6944
Irimbiliyam__Malappuram,5904
Valancherri(M)__Malappuram,40318
Edayoor__Malappuram,6811
Thirurangadi(M)__Malappuram,56632
Vallikunnu__Malappuram,9859
Munniyoor__Malappuram,10176
ARNagar__Malappuram,7338
Peruvalloor__Malappuram,6411
Parappur__Malappuram,6554
Vengara__Malappuram,8506
Athavanad__Malappuram,7573
Marakkara__Malappuram,7715
Kuruva__Malappuram,8513
Ponmala__Malappuram,6237
Ponnani(M)__Malappuram,90491
Kalady__Malappuram,5320
Purathur__Malappuram,5787
Thriprangod__Malappuram,7821
Thirunavaya__Malappuram,8484
Mangalam__Malappuram,5664
Niramaruthoor__Malappuram,5259
Vettom__Malappuram,6577
Thirur(M)__Malappuram,5658
Cheriyamundam__Malappuram,5613
Thalakkad__Malappuram,6883
Perumannaklari__Malappuram,4939
Valavannoor__Malappuram,6151
Kalpakamcherri__Malappuram,6198
Kottakkal(M)__Malappuram,44382
Edarikkod__Malappuram,5223
Thanalur__Malappuram,8844
Parappanangadi(M)__Malappuram,70903
Nannambra__Malappuram,6984
Thennala__Malappuram,5130
Ponmundam__Malappuram,4625
Ozhur__Malappuram,6277
Thenjippalam__Malappuram,6782
Chelambra__Malappuram,7078
Kannamangalam__Malappuram,7194
Pallikkal__Malappuram,8970
Kondotty(M)__Malappuram,59526
Pulikkal__Malappuram,7611
Kuzhimanna__Malappuram,6492
Muthuvalloor__Malappuram,4926
Cherukavu__Malappuram,7478
Vazhakkad__Malappuram,7435
Edappatta__Malappuram,4532
Vettathur__Malappuram,5348
Edavanna__Malappuram,9048
Poroor__Malappuram,5907
Pandikkadu__Malappuram,10790
Karuvarakundu__Malappuram,8168
Chokkadu__Malappuram,6340
Mambadu__Malappuram,7533
Kodoor__Malappuram,7119
