,name,day,S,E,I,H,R
240,Puthige__Kasaragod,6,21822.299633325216,0.6250963378666965,0.06801553265813777,0.006927985772242547,0.000326818485388331
241,Thrikkarippur__Kasaragod,6,38672.68059448525,12.775909327191389,1.3942915798522364,0.14246161100855773,0.006742996693354609
242,Uduma__Kasaragod,6,37530.299119587144,5.979203638946625,0.651979703783082,0.0665512621923239,0.003145807938066725
243,Valiyaparampa__Kasaragod,6,12786.917026783602,2.753397814750111,0.2979692035313818,0.030188343147392334,0.0014178549685867313
244,Vorkady__Kasaragod,6,25755.348891769092,0.5812193420337141,0.06315977297873308,0.006426118967556068,0.0003029969292094059
245,West Eleri__Kasaragod,6,29316.0,0.0,0,0,0
246,Ajanur__Kasaragod,7,49042.881599641514,97.24361532812108,11.452386001391604,1.3398892308188857,0.08250979815607017
247,Badiyaduka__Kasaragod,7,34205.26763109297,1.5314856032671529,0.17885012568017894,0.020762966916581905,0.001270211170846252
248,Balal__Kasaragod,7,23667.218501330535,2.4587807260658487,0.28730241206440754,0.03337254489036831,0.0020429864458808983
249,Bedadka__Kasaragod,7,27863.05203190207,4.375824199881179,0.5095504512206219,0.05899198781247074,0.0036014590118929176
250,Beloor__Kasaragod,7,10240.626272344685,0.330514274407792,0.03848579703634525,0.004455569296536528,0.0002720145691886336
