,name,day,S,E,I,R
174,Kallikkad__Thiruvananthapuram,3,13552.990942547689,0.006376768856607916,0.002528946643889457,0.0001517368114764201
175,Kalliyoor__Thiruvananthapuram,3,40815.99920740784,0.0005589982817531972,0.00022037158265616092,1.3222294991751756e-05
176,Kanjiramkulam__Thiruvananthapuram,3,18820.999598311435,0.0002832443572621035,0.00011173981959584404,6.704389193805644e-06
177,Karakulam__Thiruvananthapuram,3,52416.99928044209,0.0005079370836762855,0.00019964229522969977,1.1978537734476597e-05
178,Karavaram__Thiruvananthapuram,3,30659.99982220206,0.00012545223349847575,4.9382743742965376e-05,2.9629646267426468e-06
179,Karode__Thiruvananthapuram,3,32089.998987860014,0.0007133618489984949,0.00028186616564756335,1.691197000623527e-05
180,Karumkulam__Thiruvananthapuram,3,28289.99938460786,0.0004339065340384024,0.00017121283738101917,1.0272770271062116e-05
181,Kattakada__Thiruvananthapuram,3,40447.996323225685,0.0025880882155651917,0.0010270623636049695,6.162374252607348e-05
182,Kilimanoor__Thiruvananthapuram,3,20514.999849086536,0.00010643691637378684,4.1959005881360756e-05,2.5175403552172707e-06
183,Kizhuvilam__Thiruvananthapuram,3,32900.999810877176,0.00013349730096548317,5.2476910706959596e-05,3.1486146446955652e-06
184,Kollayil__Thiruvananthapuram,3,25076.9984789699,0.0010712479860548042,0.00042432274725835327,2.545936503090875e-05
185,Kottukal__Thiruvananthapuram,3,33335.999226395244,0.000545420799958594,0.00021526788742222465,1.2916073283166351e-05
186,Kulathoor__Thiruvananthapuram,3,32568.999171597152,0.0005840215904106633,0.00023054835633835971,1.3832901424718043e-05
187,Kunnathukal__Thiruvananthapuram,3,39413.996498679495,0.0024668537443838247,0.0009759120420664982,5.855472318164038e-05
188,Madavoor__Thiruvananthapuram,3,21090.999847665164,0.00010743402932639227,4.2359254328777384e-05,2.5415552620420303e-06
189,Malayinkeezhu__Thiruvananthapuram,3,37067.99871898129,0.0009024992732628463,0.0003570938076312052,2.142562855149687e-05
190,Manampoor__Thiruvananthapuram,3,23197.99988827319,7.885492847506967e-05,3.101120855339559e-05,1.8606725143320001e-06
191,Mangalapuram__Thiruvananthapuram,3,36955.999718350715,0.00019879486001653533,7.816455648143077e-05,4.6898733933852926e-06
192,Manikkal__Thiruvananthapuram,3,37905.9997217235,0.0001964285750428998,7.721502851852174e-05,4.6329017153920565e-06
193,Maranalloor__Thiruvananthapuram,3,36831.99843571937,0.0011025984727660416,0.00043554921097025225,2.613295279839107e-05
194,Mudakkal__Thiruvananthapuram,3,36466.99980965291,0.0001343878429641425,5.279174182833292e-05,3.1675045117799413e-06
195,Nagaroor__Thiruvananthapuram,3,26511.99982815616,0.00012122223189575397,4.775623706306977e-05,2.8653742261254045e-06
196,Nanniyodu__Thiruvananthapuram,3,26929.99964603941,0.0002496068089295864,9.844696335471905e-05,5.9068178110778765e-06
197,Navayikkulam__Thiruvananthapuram,3,40701.99984434798,0.0001098998557794129,4.316242331260615e-05,2.5897454000020887e-06
198,Nedumangad(M)__Thiruvananthapuram,3,60160.99865616541,0.0009469363464468637,0.0003744323094416244,2.2465938629921793e-05
199,Nellanadu__Thiruvananthapuram,3,25980.999751964955,0.00017493677822022643,6.896063146912108e-05,4.137637893128888e-06
200,Neyyattinkara(M)__Thiruvananthapuram,3,70849.99602574877,0.002798825768316854,0.0011088919391549921,6.653351682164842e-05
201,Ottasekharamangalam__Thiruvananthapuram,3,18793.990009345544,0.007025557715604254,0.00279726106221478,0.00016783567506396227
202,Ottoor__Thiruvananthapuram,3,16084.99992502151,5.2913626025226544e-05,2.0815907795385954e-05,1.248954468456309e-06
203,Pallichal__Thiruvananthapuram,3,45218.99878480102,0.0008564836776848864,0.0003384106594474281,2.0304639635773012e-05
204,Pallikkal__Thiruvananthapuram,3,16899.99987549046,8.780835602726183e-05,3.462375944230216e-05,2.0774255684687012e-06
205,Panavoor__Thiruvananthapuram,3,20347.999664447092,0.0002365208158406809,9.342650131000105e-05,5.605590090274682e-06
206,Pangod__Thiruvananthapuram,3,29038.999717209368,0.00019945362273532456,7.861982118783102e-05,4.7171892770629035e-06
207,Parassala__Thiruvananthapuram,3,52262.997048312005,0.002078752698171095,0.0008235238632894929,4.941143215053839e-05
208,Pazhayakunnummel__Thiruvananthapuram,3,24607.999777421715,0.0001569354970942427,6.192715792531926e-05,3.7156294797605652e-06
209,Peringammala__Thiruvananthapuram,3,27666.99967378224,0.00023004300865975307,9.073089804219995e-05,5.443853890629903e-06
210,Perumkadavila__Thiruvananthapuram,3,23384.998093238428,0.0013426064627641027,0.0005322217994581406,3.1933308297152985e-05
211,Poovachal__Thiruvananthapuram,3,43609.99693413474,0.002159789759353671,0.0008547882127581392,5.128729322147829e-05
212,Poovar__Thiruvananthapuram,3,19627.999572130593,0.0003017098238905048,0.00011901847628737174,7.1411085968839115e-06
213,Pothencodu__Thiruvananthapuram,3,29369.99973513273,0.00018693588665191982,7.35201726017272e-05,4.411210361112428e-06
214,Pulimathu__Thiruvananthapuram,3,32292.999817984797,0.00012846754533297176,5.051665825396978e-05,3.030999497388913e-06
215,Pullampara__Thiruvananthapuram,3,21816.99981494901,0.00013056705671975704,5.1399939139366914e-05,3.083996351657766e-06
216,Thirupuram__Thiruvananthapuram,3,18897.999508415156,0.0003465461978633226,0.00013682891195839687,8.209734744466563e-06
217,Thiruvananthapuram(C)__Thiruvananthapuram,3,966855.9737810785,0.018476866089132685,0.00730382590072577,0.00043822955554517756
