name,S,E,I,R
Nadapuram__Kozhikode,40230,0,0,0
Nadathara__Thrissur,31352,0,0,0
Naduvannur__Kozhikode,25979,0,0,0
Naduvil__Kannur,31190,0,0,0
Nagalasserry__Palakkad,27606,0,0,0
Nagaroor__Thiruvananthapuram,26512,0,0,0
Nalleppilli__Palakkad,32713,0,0,0
Nanmanda__Kozhikode,27316,0,0,0
Nannambra__Malappuram,6984,0,0,0
Nannammukku__Malappuram,6221,0,0,0
Nanniyodu__Thiruvananthapuram,26930,0,0,0
Naranammoozhi__Pathanamthitta,15454,0,0,0
Naranganam__Pathanamthitta,16452,0,0,0
Narath__Kannur,26769,0,0,0
